Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Price,PER,ROE,PER_Rank,ROE_Rank,Magic_Score
356860,KR7356860007,티엘비,KOSDAQ,우량기업부,38900,2,-700,-1.77,40800,40850,37500,272085,10508151950,921979014000,23701260,KSQ,37750,24.58,33.24,1048.0,130.0,1178.0
027710,KR7027710003,팜스토리,KOSDAQ,우량기업부,1116,1,16,1.45,1101,1125,1096,305349,338687998,124340925600,111416600,KSQ,1128,7.47,6.94,471.5,706.5,1178.0
297890,KR7297890006,HB솔루션,KOSDAQ,우량기업부,1678,1,3,0.18,1708,1708,1673,45061,75810875,122730453692,73140914,KSQ,1661,2.82,-0.27,75.0,1104.5,1179.5
010040,KR7010040004,한국내화,KOSPI,,1630,1,10,0.62,1620,1657,1588,34471,55962603,66939311060,41067062,STK,1647,8.67,8.93,551.0,629.0,1180.0
037710,KR7037710001,광주신세계,KOSPI,,35400,2,-300,-0.84,35800,35950,35200,19843,703508125,270001888800,7627172,STK,34900,5.6,3.96,285.0,896.0,1181.0
008260,KR7008260002,NI스틸,KOSPI,,3470,1,50,1.46,3490,3660,3365,241954,848042593,99242405990,28600117,STK,3465,5.36,3.29,263.0,920.0,1183.0
092460,KR7092460005,한라IMS,KOSDAQ,우량기업부,17280,1,340,2.01,17390,17390,16810,8030,136681015,295655270400,17109680,KSQ,17250,10.42,13.42,678.0,508.0,1186.0
037350,KR7037350006,성도이엔지,KOSDAQ,우량기업부,7080,3,0,0.0,7250,7250,6970,31405,221563800,107686800000,15210000,KSQ,7020,4.93,2.8,228.0,958.0,1186.0
021240,KR7021240007,코웨이,KOSPI,,98700,3,0,0.0,98700,101000,98000,48933,4874961450,6984744946200,70767426,STK,98400,10.29,13.34,666.0,520.5,1186.5
066900,KR7066900002,디에이피,KOSDAQ,관리종목(소속부없음),1727,2,-3,-0.17,1680,1727,1679,743,1250875,39279756681,22744503,KSQ,1731,0.75,-9.33,5.0,1184.0,1189.0
307930,KR7307930008,컴퍼니케이,KOSDAQ,중견기업부,5970,2,-70,-1.16,6060,6090,5950,7952,47694920,93191700000,15610000,KSQ,5930,9.19,9.39,587.5,602.0,1189.5
227840,KR7227840006,현대코퍼레이션홀딩스,KOSPI,,13280,1,130,0.99,13150,13290,13150,11204,148330740,120859102080,9100836,STK,13220,2.27,-2.27,47.0,1143.5,1190.5
046310,KR7046310009,백금T&A,KOSDAQ,우량기업부,2265,3,0,0.0,2265,2285,2245,2688,6079860,37188221865,16418641,KSQ,2240,12.95,16.58,801.0,391.0,1192.0
086670,KR7086670007,비엠티,KOSDAQ,우량기업부,17090,1,570,3.45,16450,17100,16450,10125,171031245,169633374650,9925885,KSQ,16870,7.22,6.85,444.5,747.5,1192.0
375500,KR7375500006,DL이앤씨,KOSPI,,72100,1,2100,3.0,70200,72600,68700,120045,8571453500,2789810218300,38693623,STK,72300,4.99,2.8,234.5,958.0,1192.5
004060,KR7004060000,SG세계물산,KOSPI,,2265,2,-15,-0.66,2290,2290,2245,8286,18711092,45849253440,20242496,STK,2275,11.73,14.5,744.0,450.0,1194.0
045060,KR7045060001,오공,KOSDAQ,우량기업부,2150,2,-35,-1.6,2160,2165,2135,5652,12126595,36425244100,16941974,KSQ,2090,4.02,0.95,160.5,1034.5,1195.0
241770,KR7241770007,메카로,KOSDAQ,우량기업부,38300,2,-200,-0.52,37800,38350,37800,945,36087700,390378112000,10192640,KSQ,37900,25.71,33.24,1065.5,130.0,1195.5
122450,KR7122450000,KX,KOSDAQ,중견기업부,2730,2,-40,-1.44,2815,2815,2730,12379,34293020,122358146820,44819834,KSQ,2760,7.08,6.69,428.0,769.0,1197.0
023760,KR7023760002,한국캐피탈,KOSDAQ,우량기업부,1419,1,9,0.64,1410,1427,1406,30743,43651772,223924994172,157804788,KSQ,1408,2.18,-5.46,44.0,1155.5,1199.5
417970,KR7417970001,모델솔루션,KOSDAQ,우량기업부,10370,1,70,0.68,10300,10450,10210,1087,11152180,66333779000,6396700,KSQ,10110,7.29,6.85,452.0,747.5,1199.5
232680,KR7232680009,라온로보틱스,KOSDAQ,기술성장기업부,9240,2,-90,-0.96,9330,9480,9130,20003,185131760,122499300000,13257500,KSQ,9150,25.85,33.24,1072.0,130.0,1202.0
252990,KR7252990007,샘씨엔에스,KOSDAQ,우량기업부,13010,2,-520,-3.84,13530,13630,12900,159089,2098659030,783434735890,60217889,KSQ,13060,25.96,33.24,1073.0,130.0,1203.0
200470,KR7200470003,에이팩트,KOSDAQ,중견기업부,6150,1,80,1.32,6170,6280,6020,251740,1549947185,269514869400,43823556,KSQ,6390,26.08,33.24,1074.0,130.0,1204.0
192820,KR7192820009,코스맥스,KOSPI,,281500,2,-4000,-1.4,279500,293000,279500,32644,9364172250,3194886783500,11349509,STK,281500,17.34,20.19,932.0,272.5,1204.5
035250,KR7035250000,강원랜드,KOSPI,,14790,1,190,1.3,14650,14850,14560,76165,1125021175,3164179995000,213940500,STK,14710,9.53,9.62,613.0,591.5,1204.5
318410,KR7318410008,비비씨,KOSDAQ,중견기업부,6570,1,30,0.46,6540,6570,6440,394,2572950,36497946510,5555243,KSQ,6530,3.61,0.27,122.5,1082.5,1205.0
051360,KR7051360006,토비스,KOSDAQ,우량기업부,11310,1,100,0.89,11180,11490,11150,6549,73950670,109047265080,9641668,KSQ,11460,3.34,-0.27,102.0,1104.5,1206.5
004560,KR7004560009,현대비앤지스틸,KOSPI,,11800,1,320,2.79,11510,12050,11330,27099,320025570,177929969800,15078811,STK,11550,9.07,8.93,578.0,629.0,1207.0
170900,KR7170900005,동아에스티,KOSPI,,36900,2,-200,-0.54,37500,37500,36700,2226,82222550,358958808900,9727881,STK,36550,41.16,49.59,1169.0,38.5,1207.5
053620,KR7053620001,태양,KOSDAQ,우량기업부,6990,2,-10,-0.14,6960,7000,6920,1138,7920150,60114000000,8600000,KSQ,7010,3.63,0.27,126.0,1082.5,1208.5
002790,KR7002790004,아모레퍼시픽홀딩스,KOSPI,,26500,1,100,0.38,26500,27350,26200,22410,601631200,2026141770000,76458180,STK,26300,17.46,20.19,937.0,272.5,1209.5
090430,KR7090430000,아모레퍼시픽,KOSPI,,144700,1,2400,1.69,143500,149000,140800,112406,16381793800,8463902227300,58492759,STK,142000,34.28,34.01,1131.0,79.0,1210.0
084370,KR7084370006,유진테크,KOSDAQ,우량기업부,132600,2,-900,-0.67,137900,137900,131000,39032,5198669250,3038667169200,22916042,KSQ,131200,27.02,33.24,1080.0,130.0,1210.0
068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,41500,1,350,0.85,41550,42000,41050,19566,812911400,1842696778000,44402332,KSQ,41000,42.58,49.59,1172.0,38.5,1210.5
017510,KR7017510009,세명전기,KOSDAQ,벤처기업부,7120,1,30,0.42,7160,7270,7050,30482,217160620,108551520000,15246000,KSQ,7110,8.67,8.43,551.0,661.5,1212.5
086710,KR7086710001,선진뷰티사이언스,KOSDAQ,우량기업부,7380,2,-230,-3.02,7690,7720,7200,32475,240211115,90060206400,12203280,KSQ,7210,17.63,20.19,940.0,272.5,1212.5
0015S0,KR70015S0005,페스카로,KOSDAQ,기술성장기업부,6880,2,-60,-0.86,6940,6940,6830,2587,17772430,67883102400,9866730,KSQ,6910,15.32,18.47,881.0,332.0,1213.0
088350,KR7088350004,한화생명,KOSPI,,6150,1,380,6.59,5810,6550,5790,15779183,99321505410,5341459500000,868530000,STK,6120,7.18,6.52,439.5,773.5,1213.0
031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,126600,1,4600,3.77,123300,126600,120500,43762,5418435500,2729799207000,21562395,KSQ,130000,27.19,33.24,1084.0,130.0,1214.0
078150,KR7078150000,HB테크놀러지,KOSDAQ,우량기업부,1855,2,-16,-0.86,1898,1914,1848,159981,297244477,176079935290,94921798,KSQ,1826,3.44,-0.27,110.0,1104.5,1214.5
001510,KR7001510007,SK증권,KOSPI,,2445,1,15,0.62,2450,2470,2380,1168016,2833952098,565516482825,231295085,STK,2415,11.67,14.48,737.0,478.0,1215.0
023600,KR7023600000,삼보판지,KOSDAQ,우량기업부,9400,1,70,0.75,9250,9440,9220,2397,22303040,150478020000,16008300,KSQ,9440,4.93,1.71,228.0,987.5,1215.5
278470,KR7278470000,에이피알,KOSPI,,415000,2,-4000,-0.95,420500,432000,412500,64776,27354756750,15536834325000,37438155,STK,404000,35.05,34.01,1137.0,79.0,1216.0
031210,KR7031210008,서울보증보험,KOSPI,,44350,1,850,1.95,43550,44850,43000,24813,1099983900,3096587871300,69821598,STK,44650,10.17,12.26,652.5,563.5,1216.0
018250,KR7018250001,애경산업,KOSPI,,11750,3,0,0.0,11700,11980,11650,19630,231127680,310316736250,26409935,STK,11690,17.85,20.19,944.0,272.5,1216.5
003000,KR7003000007,부광약품,KOSPI,,4085,1,20,0.49,4075,4165,4055,191587,785572653,403045181035,98664671,STK,4065,44.18,49.59,1179.0,38.5,1217.5
031330,KR7031330004,에스에이엠티,KOSDAQ,우량기업부,7790,2,-100,-1.27,7930,7990,7740,150201,1173991360,778961571930,99995067,KSQ,7750,1.96,-9.33,34.0,1184.0,1218.0
081000,KR7081000002,일진다이아,KOSPI,,9530,1,40,0.42,9590,9630,9380,3482,33050710,135354351750,14202975,STK,9460,9.2,8.93,589.0,629.0,1218.0
067080,KR7067080002,대화제약,KOSDAQ,중견기업부,10630,2,-240,-2.21,10850,10850,10530,30227,321731830,197894989500,18616650,KSQ,10640,44.71,49.59,1180.0,38.5,1218.5
059120,KR7059120006,아진엑스텍,KOSDAQ,벤처기업부,6090,2,-70,-1.14,6250,6310,6020,43214,266151820,111508301940,18310066,KSQ,7450,27.59,33.24,1089.0,130.0,1219.0
